time,ideal_x,ideal_y,ideal_theta,ideal_speed,noisy_x,noisy_y,noisy_theta,noisy_speed,filtered_x,filtered_y,filtered_theta,filtered_speed,desired_speed,desired_y,steering_cmd,speed_cmd
3.306262165,0.1471199419228239,3.590518633766783e-05,-0.0017161394969465106,0.11999999999968285,0.16106118250286897,-0.00498845714571217,-0.010572342204376367,0.12011406515597477,0.1534739347832495,-0.0017915037314280898,-0.004340671251665805,0.12011406515597477,0.12,0.0,0.006002059823297452,0.12
3.356039513,0.15527993067716875,2.2363598305398026e-05,-0.0015641764245053484,0.11999999999967037,0.16233773747370409,-0.0014571152665237262,0.0061848236134001795,0.11776432104243834,0.15898330173744443,-0.001718918208053749,-0.0017855660571395645,0.11776432104243834,0.12,0.0,0.005497668037413556,0.12
3.405863594,0.15935992600501034,1.6190194401296705e-05,-0.0014684069999656105,0.11999999999967037,0.1604207261674113,-0.030409999275836642,-0.007224751317802263,0.13504066911361667,0.1646498811703611,-0.005403061112558325,-0.0026659357923427924,0.13504066911361667,0.12,0.0,0.006882083855379328,0.12
3.456620803,0.16343992182805944,1.0353162611024571e-05,-0.0013748458372489691,0.11999999999967037,0.15550834513683984,0.011132386092587706,-0.0047255379204867755,0.1362288541851874,0.1671698929451196,-0.0019128372776258747,-0.0017713113184091656,0.1362288541851874,0.12,0.0,0.007416113530921519,0.12
3.505776788,0.1675199183970945,5.065312435666168e-06,-0.0012205825604894205,0.11999999999967037,0.18686661141302768,0.0006504439126144992,0.0038394276041411823,0.09986242118491202,0.17454602952310402,-0.001365431216164497,-0.0004670278246487142,0.09986242118491202,0.12,0.0,0.00482109615050448,0.12
3.559037691,0.1756799134187161,-3.934591565385211e-06,-0.00100899935761017,0.11999999999968702,0.1748626463618659,-0.0001889390401330246,-0.006998739965441808,0.12962099400842972,0.17838873192940033,-0.001129789195022664,-0.0012094625603177604,0.12962099400842972,0.12,0.0,0.003895786774933071,0.12
3.607674803,0.17975991149399934,-7.89657810645958e-06,-0.0009277137867182121,0.11999999999967315,0.18092187567784068,-0.018424096425600497,0.0012885020106912295,0.12329106426248919,0.1842716347599755,-0.008080089699772797,-0.00015085965971485256,0.12329106426248919,0.12,0.0,0.00847181203326893,0.12
3.656703628,0.1838399099870073,-1.1398648438537455e-05,-0.0007769824393146513,0.11999999999967037,0.176856814453683,-0.0028982849234750413,0.005395401275237871,0.12064420980024412,0.18729353334275375,-0.006972590984969218,0.0016550478334048187,0.12064420980024412,0.12,0.0,0.008619996317607995,0.12
3.706259511,0.18791990901189673,-1.4212465794847269e-05,-0.0006085187935560011,0.11999999999967037,0.21055516466868976,0.0008325052259322421,0.0034351149536748895,0.13451899561472272,0.19711281077018283,-0.005304993894105387,0.0021420584620069814,0.13451899561472272,0.12,0.0,0.006096355102778444,0.12
3.755802202,0.1919999084189174,-1.6406399765712895e-05,-0.0004752570219446222,0.11999999999967037,0.18764728027413288,0.011929400170805963,-0.008561883676430211,0.1244120806372047,0.1990115703225048,-0.0016599699845834441,0.00021349651177291488,0.1244120806372047,0.12,0.0,0.0036795045819033503,0.12
3.806585647,0.19607990804801104,-1.8142582568693254e-05,-0.00038232702797133956,0.11999999999967867,0.17379869282421226,0.009335017860923488,0.005113533837095348,0.10005024206681819,0.19664855407962026,0.0006815807202763934,0.0014292562070364581,0.10005024206681819,0.12,0.0,-0.0011734310244858916,0.12
3.856825044,0.20423990753284185,-2.1041302164634802e-05,-0.00035011440309844774,0.11999999999968702,0.17567579367940642,-0.00038944522130060657,0.004250450515243826,0.11838959932926647,0.20038348489666216,-0.0035516420994459235,0.0019155619631234682,0.11838959932926647,0.12,0.0,0.00346003037669396,0.12
3.905925591,0.20831990731669087,-2.2367528124647673e-05,-0.00029476673781895883,0.11999999999967174,0.20699372084896428,-0.0046966332174964145,-0.0034893557558137887,0.10928714549079979,0.20519137766187787,-0.0037962085349812816,0.00041891397649457176,0.10928714549079979,0.12,0.0,0.0036671983349003483,0.12
3.955725145,0.21239990716978324,-2.34603107900834e-05,-0.00023699598082728925,0.11999999999967037,0.1998990226475006,0.010475310951466279,0.011510884410092528,0.11370922316416875,0.20745118622809183,-0.0007491600214073954,0.0029490233167024245,0.11370922316416875,0.12,0.0,0.0006425029459196999,0.12
4.006251783,0.21647990708659906,-2.427949277563008e-05,-0.0001680354671081356,0.11999999999967174,0.22801631869922204,0.006603784757733785,-0.00101109726569581,0.10857692093825276,0.21493092566282634,0.0008154072587630165,0.0015679191441241576,0.10857692093825276,0.12,0.0,-0.0023700053264074,0.12
4.055757996,0.2246399069558427,-2.5734846457069192e-05,-0.00020898937434702685,0.11999999999967174,0.19878646472543166,-0.01989632525645335,-0.005915593153330297,0.13117314406818337,0.21980959067693714,-0.003783835042262177,-0.0014142267649665061,0.13117314406818337,0.12,0.0,-0.0010477752486239102,0.12
4.106088566,0.22871990685617294,-2.663628901448761e-05,-0.0002270538423868092,0.11999999999967037,0.25396639085853656,-0.003501913141408479,0.0046051572265294,0.12285446968875507,0.23107994997215656,-0.003715911841783493,-0.0015552001221452668,0.12285446968875507,0.12,0.0,0.004987106198537594,0.12
4.156344183,0.23279990677772805,-2.7431226745011244e-05,-0.00015191554069384034,0.11999999999967037,0.20414470958343192,-0.013792939838230763,0.007830667581386485,0.11038331072751553,0.22953963318872744,-0.005845016140954586,0.0008795773403365762,0.11038331072751553,0.12,0.0,0.0065303632612535405,0.12
4.205881846,0.2368799067573688,-2.781471908689321e-05,-3.461444870552043e-05,0.11999999999968702,0.22638767192463438,-0.009557558153756529,-0.006088577110630231,0.1508474805474627,0.23379879619683747,-0.006643851599000412,0.00014727501512323767,0.1508474805474627,0.12,0.0,0.0075668379586726715,0.12
4.255941967,0.24095990675309278,-2.7702400190494804e-05,9.301414453891182e-05,0.11999999999967037,0.230248023299646,0.006340717600643725,0.004738133360733785,0.11131813402023057,0.2366327908813783,-0.0038799289584428194,0.00126015098164123,0.11131813402023057,0.12,0.0,0.004739594111322556,0.12
4.306577957,0.24911990656151864,-2.6000832196022483e-05,0.00029481431873988075,0.11999999999968147,0.25892082096696,0.0015305186566038017,-0.007812730423960626,0.12473867062133812,0.2506920862822304,-0.0027871186241840836,0.0017499661442304103,0.12473867062133812,0.12,0.0,0.0015517148512926523,0.12
4.35627536,0.2531999063630292,-2.4728764576469564e-05,0.0003269632559455564,0.11999999999967037,0.2268326885231265,-0.011159626696695964,0.0065554828888672026,0.1312152603356602,0.2494546254367867,-0.004548506580800143,0.002442434754073507,0.1312152603356602,0.12,0.0,0.0017952950684438007,0.12
4.405817025,0.257279906127012,-2.3341359885718644e-05,0.00035387199526046515,0.1199999999996787,0.26778492910230306,-0.012838326819743612,-0.00571586820908527,0.11673543825285798,0.2569847460696639,-0.006312984263610163,0.0011652403058227455,0.11673543825285798,0.12,0.0,0.005458182445404556,0.12
4.455580436,0.2654399054014897,-1.992265432119295e-05,0.0005093724661546532,0.11999999999968702,0.2742922876100608,0.0112448558681767,0.006629826783093612,0.13398582174369458,0.26412750463081286,-0.0014231149394207218,0.0021904555884774053,0.13398582174369458,0.12,0.0,0.002110323278576972,0.12
4.505670682,0.26951990479017146,-1.7690371803180774e-05,0.0005714117629432512,0.11999999999967037,0.26611498859725885,-0.0015752278200394775,-0.0020565607248690136,0.12019485667798864,0.2678658309847402,-0.0014545380855289383,0.0012610871101832305,0.12019485667798864,0.12,0.0,0.0002638156304507838,0.12
